observation,feature,newnn_class,probability,new_value
1,radius,0,0.0036062922,-1.6647616798292684
1,radius,0,0.003702534,-1.6465298721382005
1,radius,0,0.0038013363,-1.628298064447132
1,radius,0,0.0039050533,-1.610066256756064
1,radius,0,0.004012936,-1.5918344490649958
1,radius,0,0.004123784,-1.573602641373928
1,radius,0,0.0042376816,-1.5553708336828596
1,radius,0,0.004354711,-1.5371390259917916
1,radius,0,0.0044749584,-1.5189072183007235
1,radius,0,0.004598513,-1.500675410609655
1,radius,0,0.0047254595,-1.4824436029185872
1,radius,0,0.004855894,-1.464211795227519
1,radius,0,0.0049899113,-1.4459799875364507
1,radius,0,0.00512761,-1.4277481798453826
1,radius,0,0.005269083,-1.4095163721543147
1,radius,0,0.005414444,-1.3912845644632463
1,radius,0,0.00556379,-1.3730527567721784
1,radius,0,0.005717235,-1.3548209490811105
1,radius,0,0.00587488,-1.3365891413900424
1,radius,0,0.006036852,-1.3183573336989742
1,radius,0,0.006203256,-1.300125526007906
1,radius,0,0.006374222,-1.2818937183168382
1,radius,0,0.0065498706,-1.2636619106257698
1,radius,0,0.0067303227,-1.245430102934702
1,radius,0,0.0069157123,-1.2271982952436336
1,radius,0,0.0071061747,-1.2089664875525656
1,radius,0,0.007301841,-1.1907346798614975
1,radius,0,0.007502851,-1.1725028721704291
1,radius,0,0.0077093584,-1.154271064479361
1,radius,0,0.007921499,-1.136039256788293
1,radius,0,0.0081394315,-1.1178074490972247
1,radius,0,0.008363308,-1.0995756414061568
1,radius,0,0.008593289,-1.0813438337150887
1,radius,0,0.00882954,-1.0631120260240203
1,radius,0,0.009072224,-1.0448802183329524
1,radius,0,0.009321521,-1.0266484106418843
1,radius,0,0.009577597,-1.0084166029508161
1,radius,0,0.009823115,-0.990184795259748
1,radius,0,0.010057646,-0.97195298756868
1,radius,0,0.010297726,-0.9537211798776118
1,radius,0,0.010543464,-0.9354893721865438
1,radius,0,0.010795011,-0.9172575644954754
1,radius,0,0.011052493,-0.8990257568044075
1,radius,0,0.011316043,-0.8807939491133394
1,radius,0,0.011585801,-0.8625621414222712
1,radius,0,0.011861915,-0.8443303337312031
1,radius,0,0.012144527,-0.826098526040135
1,radius,0,0.012433789,-0.8078667183490669
1,radius,0,0.012729855,-0.7896349106579987
1,radius,0,0.0130328685,-0.7714031029669307
1,radius,0,0.013343008,-0.7531712952758625
1,radius,0,0.013660426,-0.7349394875847945
1,radius,0,0.013985275,-0.7167076798937265
1,radius,0,0.0143177435,-0.6984758722026583
1,radius,0,0.014658007,-0.6802440645115901
1,radius,0,0.015006226,-0.662012256820522
1,radius,0,0.015362587,-0.6437804491294538
1,radius,0,0.015727283,-0.6255486414383857
1,radius,0,0.016100487,-0.6073168337473176
1,radius,0,0.0164824,-0.5890850260562497
1,radius,0,0.016873226,-0.5708532183651815
1,radius,0,0.01727314,-0.5526214106741134
1,radius,0,0.017682368,-0.5343896029830452
1,radius,0,0.018101128,-0.5161577952919771
1,radius,0,0.018405676,-0.4979259876009089
1,radius,0,0.018638857,-0.4796941799098409
1,radius,0,0.018874943,-0.4614623722187727
1,radius,0,0.019113973,-0.4432305645277046
1,radius,0,0.019355953,-0.4249987568366365
1,radius,0,0.01960095,-0.4067669491455683
1,radius,0,0.019848969,-0.3885351414545004
1,radius,0,0.020100076,-0.3703033337634323
1,radius,0,0.02035428,-0.3520715260723641
1,radius,0,0.02061164,-0.333839718381296
1,radius,0,0.020872187,-0.31560791069022787
1,radius,0,0.021135956,-0.29737610299915973
1,radius,0,0.02140298,-0.2791442953080916
1,radius,0,0.021673301,-0.2609124876170234
1,radius,0,0.021946967,-0.24268067992595524
1,radius,0,0.022224015,-0.2244488722348872
1,radius,0,0.022504464,-0.20621706454381927
1,radius,0,0.022788381,-0.18798525685275116
1,radius,0,0.023079596,-0.169753449161683
1,radius,0,0.023381842,-0.15152164147061484
1,radius,0,0.023687933,-0.13328983377954673
1,radius,0,0.023997946,-0.1150580260884786
1,radius,0,0.024311904,-0.09682621839741043
1,radius,0,0.024641184,-0.07859441070634231
1,radius,0,0.025003906,-0.060362603015274185
1,radius,0,0.025371807,-0.04213079532420605
1,radius,0,0.025744982,-0.023898987633137917
1,radius,0,0.026123507,-0.005667179942069999
1,radius,0,0.026507437,0.012564627748998136
1,radius,0,0.026896855,0.030796435440066276
1,radius,0,0.027291827,0.0490282431311344
1,radius,0,0.027692448,0.06726005082220254
1,radius,0,0.028098792,0.0854918585132707
1,radius,0,0.028510895,0.1037236662043388
1,radius,0,0.028928874,0.12195547389540695
1,radius,0,0.02935279,0.14018728158647506
1,radius,0,0.029782737,0.15841908927754322
1,radius,0,0.03021878,0.17665089696861136
1,radius,0,0.030661002,0.1948827046596793
1,radius,0,0.031109493,0.2131145123507474
1,radius,0,0.03156434,0.23134632004181555
1,radius,0,0.032025598,0.24957812773288365
1,radius,0,0.03249337,0.2678099354239518
1,radius,0,0.032967754,0.28604174311501995
1,radius,0,0.033448834,0.30427355080608803
1,radius,0,0.033936672,0.3225053584971562
1,radius,0,0.03443136,0.3407371661882244
1,radius,0,0.03493302,0.3589689738792923
1,radius,0,0.03544172,0.37720078157036063
1,radius,0,0.035957538,0.3954325892614285
1,radius,0,0.03648058,0.4136643969524969
1,radius,0,0.037010953,0.4318962046435648
1,radius,0,0.037548725,0.4501280123346332
1,radius,0,0.03809401,0.4683598200257011
1,radius,0,0.038646888,0.486591627716769
1,radius,0,0.039207466,0.5048234354078374
1,radius,0,0.039775845,0.5230552430989053
1,radius,0,0.040352106,0.5412870507899736
1,radius,0,0.040866703,0.5595188584810415
1,radius,0,0.04125678,0.57775066617211
1,radius,0,0.04165042,0.5959824738631777
1,radius,0,0.042047665,0.6142142815542461
1,radius,0,0.04244851,0.632446089245314
1,radius,0,0.04285302,0.6506778969363824
1,radius,0,0.043261208,0.6689097046274504
1,radius,0,0.043673117,0.6871415123185183
1,radius,0,0.044088732,0.7053733200095866
1,radius,0,0.044508144,0.7236051277006545
1,radius,0,0.044931367,0.7418369353917229
1,radius,0,0.04535841,0.7600687430827907
1,radius,0,0.04578931,0.7783005507738591
1,radius,0,0.046224132,0.7965323584649272
1,radius,0,0.04666285,0.8147641661559955
1,radius,0,0.047105554,0.8329959738470633
1,radius,0,0.04755223,0.8512277815381317
1,radius,0,0.048002943,0.8694595892291996
1,radius,0,0.04845769,0.8876913969202676
1,radius,0,0.048916537,0.905923204611336
1,radius,0,0.049379487,0.9241550123024038
1,radius,0,0.049846616,0.942386819993472
1,radius,0,0.050317913,0.9606186276845402
1,radius,0,0.050793424,0.9788504353756082
1,radius,0,0.051273204,0.9970822430666764
1,radius,0,0.051757272,1.0153140507577447
1,radius,0,0.052245636,1.0335458584488126
1,radius,0,0.052738335,1.051777666139881
1,radius,0,0.05323547,1.070009473830949
1,radius,0,0.05373699,1.0882412815220168
1,radius,0,0.054242987,1.1064730892130852
1,radius,0,0.054753453,1.124704896904153
1,radius,0,0.055268478,1.1429367045952217
1,radius,0,0.055788018,1.1611685122862894
1,radius,0,0.05631213,1.1794003199773575
1,radius,0,0.056939837,1.1976321276684259
1,radius,0,0.058122423,1.2158639353594942
1,radius,0,0.05932805,1.234095743050562
1,radius,0,0.060829576,1.2523275507416296
1,radius,0,0.062406227,1.2705593584326977
1,radius,0,0.06402103,1.288791166123766
1,radius,0,0.065674655,1.3070229738148345
1,radius,0,0.06736791,1.3252547815059024
1,radius,0,0.06910161,1.343486589196971
1,radius,0,0.07087651,1.3617183968880386
1,radius,0,0.07269347,1.379950204579107
1,radius,0,0.07455327,1.3981820122701747
1,radius,0,0.07645671,1.4164138199612433
1,radius,0,0.07840464,1.4346456276523112
1,radius,0,0.0803979,1.452877435343379
1,radius,0,0.08334821,1.4711092430344475
1,radius,0,0.08694198,1.4893410507255151
1,radius,0,0.09067543,1.5075728584165835
1,radius,0,0.09455255,1.5258046661076516
1,radius,0,0.09857751,1.54403647379872
1,radius,0,0.1027543,1.5622682814897881
1,radius,0,0.107087106,1.5805000891808565
1,radius,0,0.111579865,1.5987318968719237
1,radius,0,0.11623661,1.6169637045629923
1,radius,0,0.121061176,1.6351955122540607
1,radius,0,0.1260574,1.6534273199451284
1,radius,0,0.1312291,1.6716591276361967
1,radius,0,0.13657981,1.6898909353272649
1,radius,0,0.14211299,1.7081227430183332
1,radius,0,0.14783196,1.726354550709401
1,radius,0,0.15373984,1.744586358400469
1,radius,0,0.15983953,1.7628181660915374
1,radius,0,0.16613367,1.7810499737826053
1,radius,0,0.17240113,1.7992817814736732
1,radius,0,0.17857097,1.8175135891647416
1,radius,0,0.18491232,1.8357453968558095
1,radius,0,0.1914263,1.8539772045468776
1,radius,0,0.19811402,1.872209012237946
1,radius,0,0.20497614,1.8904408199290137
1,radius,0,0.21201316,1.9086726276200827
1,radius,0,0.21922515,1.92690443531115
1,radius,0,0.22661182,1.9451362430022183
1,radius,0,0.23417287,1.9633680506932865
1,radius,0,0.24190721,1.9815998583843548
1,radius,0,0.2498137,1.9998316660754227
1,radius,0,0.25789073,2.018063473766491
1,radius,0,0.26613602,2.036295281457559
1,radius,0,0.27454767,2.054527089148627
1,radius,0,0.2831226,2.0727588968396953
1,radius,0,0.29185757,2.090990704530763
1,radius,0,0.30074885,2.1092225122218315
1,radius,0,0.30979267,2.1274543199128995
1,radius,0,0.31898436,2.145686127603968
1,radius,0,0.32831892,2.163917935295036
1,radius,0,0.33779112,2.182149742986104
1,radius,0,0.34739545,2.2003815506771716
1,radius,0,0.35712543,2.2186133583682404
1,radius,0,0.36697486,2.236845166059308
1,radius,0,0.37693647,2.255076973750376
1,radius,0,0.38700324,2.2733087814414445
1,radius,0,0.39716753,2.2915405891325125
1,radius,0,0.40742144,2.309772396823581
1,radius,0,0.41775638,2.328004204514649
1,radius,0,0.42816412,2.3462360122057166
1,radius,0,0.43863598,2.364467819896785
1,radius,0,0.44916272,2.382699627587853
1,radius,0,0.45973498,2.4009314352789217
1,radius,0,0.47034392,2.4191632429699896
1,radius,0,0.48097965,2.4373950506610575
1,radius,0,0.49163255,2.455626858352125
1,radius,1,0.502293,2.4738586660431934
1,radius,1,0.51295143,2.492090473734262
1,radius,1,0.52359813,2.51032228142533
1,radius,1,0.53422344,2.528554089116398
1,radius,1,0.5448177,2.5467858968074655
1,radius,1,0.55537164,2.5650177044985347
1,radius,1,0.56587595,2.5832495121896026
1,radius,1,0.5763212,2.6014813198806706
1,radius,1,0.5850646,2.619713127571738
1,radius,1,0.592377,2.6379449352628064
1,radius,1,0.5996489,2.6561767429538756
1,radius,1,0.6068769,2.674408550644943
1,radius,1,0.6140587,2.692640358336011
1,radius,1,0.621191,2.710872166027079
1,radius,1,0.6282713,2.729103973718148
1,radius,1,0.63529706,2.747335781409216
1,radius,1,0.64204156,2.765567589100283
1,radius,1,0.64825463,2.783799396791352
1,radius,1,0.6544182,2.8020312044824194
1,radius,1,0.66053003,2.820263012173488
1,radius,1,0.66404223,2.838494819864556
1,radius,1,0.66744775,2.856726627555624
1,radius,1,0.6708358,2.8749584352466924
1,texture,0,0.00019642354,-1.864781130698488
1,texture,0,0.00020288421,-1.8468439342909129
1,texture,0,0.00020955736,-1.828906737883338
1,texture,0,0.00021644971,-1.8109695414757627
1,texture,0,0.00022356893,-1.7930323450681875
1,texture,0,0.00023092225,-1.7750951486606126
1,texture,0,0.00023851739,-1.7571579522530376
1,texture,0,0.00024636224,-1.7392207558454627
1,texture,0,0.00025446483,-1.7212835594378875
1,texture,0,0.00026295037,-1.7033463630303125
1,texture,0,0.00027177684,-1.6854091666227369
1,texture,0,0.00028089946,-1.6674719702151617
1,texture,0,0.00029032826,-1.6495347738075867
1,texture,0,0.00030007344,-1.6315975774000115
1,texture,0,0.00031014596,-1.6136603809924364
1,texture,0,0.0003205561,-1.5957231845848614
1,texture,0,0.00033131588,-1.5777859881772864
1,texture,0,0.00034243622,-1.5598487917697115
1,texture,0,0.00035393002,-1.541911595362136
1,texture,0,0.00036639787,-1.523974398954561
1,texture,0,0.00038050415,-1.506037202546986
1,texture,0,0.0003951529,-1.488100006139411
1,texture,0,0.00041054297,-1.4701628097318353
1,texture,0,0.00042741603,-1.4522256133242604
1,texture,0,0.00044498232,-1.4342884169166854
1,texture,0,0.0004632697,-1.4163512205091102
1,texture,0,0.00048230853,-1.3984140241015353
1,texture,0,0.00050212967,-1.38047682769396
1,texture,0,0.0005227649,-1.362539631286385
1,texture,0,0.0005442472,-1.3446024348788097
1,texture,0,0.00056661206,-1.3266652384712347
1,texture,0,0.0005898955,-1.3087280420636596
1,texture,0,0.0006141353,-1.2907908456560848
1,texture,0,0.0006389631,-1.2728536492485094
1,texture,0,0.00066315226,-1.2549164528409342
1,texture,0,0.0006882561,-1.2369792564333593
1,texture,0,0.0007143098,-1.2190420600257839
1,texture,0,0.0007413493,-1.201104863618209
1,texture,0,0.0007694114,-1.183167667210634
1,texture,0,0.0007985344,-1.1652304708030583
1,texture,0,0.0008287584,-1.1472932743954836
1,texture,0,0.0008601267,-1.1293560779879084
1,texture,0,0.0008926806,-1.1114188815803334
1,texture,0,0.0009264656,-1.0934816851727582
1,texture,0,0.000961528,-1.075544488765183
